type,category,sub_category,required,checklist,notes,script,template
LLC,RA,AUTHORIZED SIGNER,OPTIONAL,Check If RA is a company.,"If company, it must be registered and active in the state. Check Comptroller page.",Agent Not Found On State,"Please be advised that we haven't been able to find _____ as an active company in the state of _____ that you are trying to use as Registered Agent. Please provide an active entity's information, including the designator of the company or an individual's information instead. Thank you"
LLC,RA,AUTHORIZED SIGNER,OPTIONAL,Check If RA is a company.,"If RA is a LAW FIRM, send applicable issue.",Law Firm As RA,"Please be advised that a law firm cannot act as the Registered Agent of a company. The permitted Registered Agents are individuals residing in the state and foreign or domestic companies active in the state (LLCs, CORPs). Please provide an active entity information or an individual’s information instead."
LLC,RA,AUTHORIZED SIGNER,OPTIONAL,Check If RA is a company.,"If RA is a TRUST, send applicable issue.",Trust as RA,A trust can not act as a Registered agent. Please provide an active company or a person in order to proceed with the filing for your company. Thank you.
LLC,RA,AUTHORIZED SIGNER,OPTIONAL,Check If RA is a company.,"If Authorized Signer is not an individual, send applicable issue.",****,****
LLC,RA,AUTHORIZED SIGNER,OPTIONAL,Check If RA is a company.,"If Authorized Signer contains titles such as Mr., Mrs., Dr., professional designations, Trustee, send applicable issue.","Titles, MR, MRS, DR","Honorifics, courtesy titles and professional Designations are not allowed by the state. Please provide a full name as in Federal ID."
LLC,RA,ADDRESS,LISTED,Check VA is not being used as RA address.,"If VA being used as RA address, send applicable issue.",VA Service as RA Address,"Please be advised that the Virtual address cannot be listed as the Registered Agent Address. The state statute requires that the registered agent’s address must be a street address in _______, and the agent must be located at that address. A post office box or “mail drop” or virtual address may not be used as the registered agent address. Please provide an appropriate address so we can proceed."
LLC,RA,ADDRESS,LISTED,Check VA is not being used as RA address.,"If VA being used as RA address, send applicable issue.","VA Service as RA Address, Offer RA Service","Our virtual address can't be used as the registered agent address, if you want to use our Registered Agent Service you can subscribe to our Service at https://bizee.com/form/manage-your-company/registered-agent, otherwise provide us with a new physical address. Thank you."
LLC,RA,ADDRESS,LISTED,Check Address does not belong to a Commercial Agent.,"If RA is an individual, it can not use a Commercial Agent address, send applicable issue.",Address corresponds to a Commercial Agent,"Please be advised that the Address ____ belongs to the Commercial Registered Agent ""___"" and cannot be used for an Individual. Please provide a New Address or a New Registered Agent information to continue. Thank you."
LLC,RA,ADDRESS,LISTED,Check address is within the state.,"If out of state, send applicable issue.",Address corresponds to a Commercial Agent,"Please be advised that the Address ____ belongs to the Commercial Registered Agent ""___"" and cannot be used for an Individual. Please provide a New Address or a New Registered Agent information to continue. Thank you."
LLC,RA,ADDRESS,LISTED,Check it's physical. Run USPS validation.,"If not physical, send applicable issue",Physical Address required,"The Address must be a physical deliverable address and cannot be a PMB, PO Box, UPS, FEDEX, STAPLES, postal, shipping or mailing center. Please send us a physical address for your company so we can continue with the filing. Thank you."
LLC,MEMBER,NAME,LISTED,Check MEMBER NAME is not the same as COMPANY NAME,"If they're the same, send applicable issue.",Company Cannot Act As Its Own Member,"A company cannot act as its own MEMBER, please provide an Active entity information or an individual's information instead to proceed with your filing. Thank you."
LLC,MEMBER,NAME,LISTED,Check MEMBER NAME is not the same as COMPANY NAME,"If they're the same, but company is active in another state, send applicable issue.",Same member’s name but from another State,"Texas will not accept the name, because a company can't act as its own Member, and even if the Member is an active company from a different State, the state sees it like the same, please provide a different name, or a different member, thank you"
LLC,MEMBER,NAME,LISTED,Check MEMBER NAME is not duplicated.,"If exact same name is listed more than once, send applicable issue.","Duplicate Member, Suffix","It seems you added a new member with the same name, if she/he is a different person please add ""JUNIOR"", ""SENIOR"", ""II"", so she/he can be distinguishable."
LLC,MEMBER,NAME,LISTED,"Check if MEMBER is an Individual
","If name contains titles such as Mr., Mrs., Dr., professional designations, Trustee, send applicable issue.","Titles, MR, MRS, DR","Honorifics, courtesy titles and professional Designations are not allowed by the state. Please provide a full name as in Federal ID."
LLC,MEMBER,NAME,LISTED,Check it does not contain Special Characters,"If special characters included, sen applicable issue. (- and ' are allowed)",Special characters in a name,"Please be advised that the State doesn't allow special characters, please provide the _____ name with letters found on a standard American or U.S. qwerty keyboard."
LLC,MEMBER,AUTHORIZED SIGNER,OPTIONAL,Check if MEMBER is a company,"If Auth. Signer is missing, send applicable issue.",RA/Member - Authorized signer,"Please provide the name of the Authorized signer for the company ""_____"" in order to proceed with the filing. Thank you."
LLC,MEMBER,AUTHORIZED SIGNER,OPTIONAL,Check if MEMBER is a company,"If member is a COMPANY and has not been found in the state, send applicable issue",Company As Member Not Found,We haven't been able to find _________ as active in the __ SOS. Please provide an active entity's information or an individual's information instead.
LLC,MEMBER,AUTHORIZED SIGNER,OPTIONAL,Check if MEMBER is a company,"If entity name does not match state records, send applicable issue.",Entity’s name doesn’t match the State Records,Please provide the company name Exactly as registered in the state with the designator. Thank you.
LLC,MEMBER,AUTHORIZED SIGNER,OPTIONAL,Check if MEMBER is a company,"If TRUST listed as member, send applicable issue.",Trust as Member,"Please be advised that as per the State, a revocable or irrevocable trust cannot be a member of a limited liability company in Texas because such trusts do not have the ability to take actions in and of themselves."
LLC,MEMBER,AUTHORIZED SIGNER,OPTIONAL,Check if MEMBER is a company,"If Authorized Signer is not an individual, send applicable issue.",****,****
LLC,MEMBER,AUTHORIZED SIGNER,OPTIONAL,Check if MEMBER is a company,"If Authorized Signer contains titles such as Mr., Mrs., Dr., professional designations, Trustee, send applicable issue.","Titles, MR, MRS, DR","Honorifics, courtesy titles and professional Designations are not allowed by the state. Please provide a full name as in Federal ID."
LLC,MEMBER,ADDRESS,LISTED,Check it's not our RA address.,"If Authorized Signer contains titles such as Mr., Mrs., Dr., professional designations, Trustee, send applicable issue.","Titles, MR, MRS, DR","Honorifics, courtesy titles and professional Designations are not allowed by the state. Please provide a full name as in Federal ID."
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If incomplete, send applicable issue.","Titles, MR, MRS, DR","Honorifics, courtesy titles and professional Designations are not allowed by the state. Please provide a full name as in Federal ID."
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If ZIP does not match, send applicable issue.",ZIP Code doesn’t match,"USPS shows that your correct ZIP Code is ""______"" Please verify it, and let us know how you would like to submit it."
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If CITY does not match, send applicable issue.",City doesn’t match,"USPS shows that your correct City is ""______"" Please verify it, and let us know how you would like to submit it."
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If USPS cant verify but suggest a similar address, send applicable issue.",Suggest an Address,The state is not recognizing the company address you entered. Please confirm if you would like to use the suggested address so we can proceed with your request. Thank you. This is the address suggested: __________
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If address can not be USPS verified, send applicable issue.",Address Not Verified On USPS,"The Address cannot be verified with the USPS database. Please recheck the street address, city and zip code to proceed with your filing. Thank you."
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If missing suite/apt number, send applicable issue.",Missing Info On Address,According to the USPS the address you entered is missing important secondary information such as an Apartment or Suite. Please enter the missing information to continue. Thank you.
LLC,MEMBER,ADDRESS,LISTED,"Check its complete and valid: Street (1 or 2), City, State, ZIP. Run USPS validation. It can be PO BOX or Virtual address. It can be anywhere in the world.","If complete, proceed. ",-,-
LLC,MEMBER,MANAGEMENT TYPE,OPTIONAL,NOT IN DB: We default to Member Managed.,"We dont give option to customer, unless explicitly requested.",-,-
LLC,ORGANIZER,NAME,LISTED,"NOT IN DB:  to be filled in form, not present in DB order.","""Lovette Dobson"" too act as ORGANAIZER and SIGNER for the filing.",-,-
